id,project_is_approved
p178898,0.828
p177763,0.784
p175360,0.82
p218759,0.69
p225010,0.8
p015130,0.782
p161752,0.704
p152538,0.852
p237080,0.652
p199291,0.886
p136751,0.74
p108958,0.864
p110542,0.832
p043509,0.768
p251751,0.692
p241189,0.914
p194788,0.648
p175510,0.686
p113659,0.738
p038018,0.652
p109620,0.762
p198992,0.758
p001237,0.674
p156569,0.684
p183302,0.778
p068100,0.748
p013384,0.85
p189300,0.668
p185448,0.736
p140668,0.666
p070387,0.75
p033345,0.804
p049875,0.81
p112795,0.708
p042765,0.726
p183727,0.82
p258333,0.89
p164654,0.71
p111121,0.894
p007364,0.872
p235281,0.692
p184766,0.722
p118290,0.734
p134315,0.688
p008931,0.706
p193216,0.738
p099504,0.718
p185939,0.698
p212541,0.844
p057050,0.746
p235964,0.614
p019799,0.86
p226343,0.758
p247942,0.824
p034876,0.826
p127034,0.704
p122910,0.714
p112781,0.652
p167054,0.846
p091175,0.728
p192661,0.872
p254171,0.738
p056473,0.846
p186773,0.788
p005448,0.634
p127039,0.596
p019902,0.904
p109258,0.816
p256814,0.64
p086119,0.848
p085718,0.708
p000341,0.724
p153871,0.646
p015527,0.89
p180082,0.692
p114608,0.872
p255258,0.738
p074885,0.63
p158107,0.79
p194785,0.756
p053919,0.768
p118270,0.752
p173735,0.896
p166438,0.696
p229032,0.804
p126693,0.81
p093408,0.67
p078376,0.796
p256718,0.732
p257276,0.808
p139883,0.816
p112417,0.598
p006285,0.87
p158702,0.784
p180517,0.88
p103302,0.898
p085035,0.74
p052579,0.852
p034767,0.72
p164787,0.668
p068805,0.664
p099314,0.7
p247448,0.644
p010132,0.744
p149889,0.862
p244732,0.872
p132573,0.776
p022004,0.804
p232062,0.786
p227193,0.888
p001484,0.82
p212354,0.598
p218435,0.734
p070650,0.678
p088920,0.64
p121609,0.864
p050858,0.878
p132912,0.72
p150879,0.69
p243365,0.714
p114677,0.75
p228243,0.734
p042290,0.792
p104397,0.812
p042280,0.644
p137702,0.64
p084377,0.868
p041654,0.67
p119772,0.762
p098282,0.688
p087508,0.768
p107066,0.754
p241315,0.564
p034181,0.676
p079792,0.782
p206611,0.808
p233647,0.714
p072113,0.828
p085444,0.768
p028452,0.9
p104178,0.774
p097168,0.67
p211339,0.904
p109077,0.634
p074743,0.736
p207729,0.694
p204533,0.76
p207665,0.688
p217044,0.78
p185822,0.828
p223903,0.904
p253408,0.74
p021838,0.68
p073176,0.636
p097703,0.78
p177982,0.858
p209800,0.728
p197472,0.7
p176198,0.736
p010602,0.882
p045059,0.674
p004465,0.798
p201661,0.644
p247377,0.746
p011839,0.738
p181589,0.754
p222352,0.7
p033095,0.842
p152161,0.834
p146348,0.574
p081351,0.768
p104086,0.83
p129944,0.894
p139971,0.712
p019840,0.684
p078847,0.75
p187359,0.782
p014981,0.87
p078888,0.762
p197493,0.86
p223807,0.742
p175173,0.65
p184290,0.772
p240381,0.878
p192045,0.928
p067483,0.86
p065985,0.766
p097988,0.798
p014378,0.674
p207504,0.89
p124497,0.558
p041514,0.698
p053087,0.858
p019766,0.746
p042248,0.87
p162955,0.748
p051634,0.854
p042928,0.696
p218938,0.812
p096669,0.662
p227913,0.806
p128332,0.83
p156792,0.72
p072391,0.758
p185449,0.794
p166909,0.704
p044691,0.816
p101409,0.798
p041121,0.902
p238590,0.9
p222387,0.726
p234051,0.792
p144094,0.712
p091725,0.65
p146744,0.91
p217132,0.824
p038548,0.81
p163490,0.91
p064027,0.87
p252418,0.848
p097793,0.688
p127908,0.818
p033793,0.652
p041765,0.758
p087059,0.712
p139864,0.676
p236252,0.88
p100085,0.754
p099517,0.73
p105054,0.746
p129742,0.73
p208479,0.842
p216392,0.806
p142815,0.712
p241790,0.86
p056395,0.626
p121254,0.83
p083120,0.844
p136618,0.788
p060713,0.876
p178996,0.732
p005636,0.876
p093473,0.864
p189408,0.84
p037253,0.738
p077833,0.89
p217127,0.8
p035918,0.75
p195304,0.69
p184006,0.874
p053912,0.916
p249361,0.692
p228033,0.772
p120177,0.744
p205087,0.778
p065516,0.798
p251979,0.736
p116508,0.628
p219918,0.61
p147330,0.76
p248641,0.716
p188743,0.75
p232753,0.612
p155252,0.672
p034381,0.828
p000855,0.64
p122818,0.8
p143606,0.744
p219622,0.752
p226159,0.638
p220735,0.814
p224764,0.684
p210363,0.778
p148574,0.754
p212574,0.662
p219336,0.894
p236757,0.772
p113674,0.852
p208748,0.8
p036325,0.79
p001219,0.852
p019963,0.91
p012286,0.864
p128031,0.676
p181273,0.734
p228160,0.706
p198162,0.85
p010888,0.754
p143333,0.694
p241664,0.908
p105195,0.622
p023056,0.66
p177916,0.752
p009005,0.606
p196258,0.764
p214997,0.698
p137578,0.836
p067204,0.862
p148065,0.796
p146297,0.838
p184635,0.716
p218157,0.63
p226936,0.728
p026264,0.742
p230219,0.776
p042040,0.774
p031495,0.75
p241951,0.74
p213119,0.808
p058032,0.736
p006519,0.786
p164910,0.872
p174119,0.698
p032059,0.77
p163776,0.648
p096322,0.844
p065487,0.718
p097627,0.902
p055152,0.75
p249493,0.784
p208294,0.758
p015148,0.736
p123415,0.884
p152876,0.8
p116942,0.796
p068889,0.684
p085299,0.718
p079235,0.71
p103973,0.856
p148248,0.88
p211888,0.804
p009471,0.704
p092215,0.848
p147914,0.716
p223502,0.728
p102524,0.862
p237245,0.788
p048211,0.866
p192594,0.708
p045414,0.69
p046340,0.798
p191783,0.762
p094757,0.828
p038959,0.66
p058620,0.792
p192466,0.77
p197025,0.784
p159919,0.802
p018322,0.792
p108689,0.9
p210835,0.646
p106448,0.724
p249270,0.798
p016889,0.696
p040535,0.644
p221436,0.74
p252788,0.71
p178590,0.814
p002105,0.788
p111215,0.846
p153809,0.828
p136364,0.648
p064316,0.812
p045197,0.746
p124829,0.81
p209156,0.892
p065013,0.714
p045231,0.746
p100288,0.762
p031464,0.71
p113289,0.904
p117143,0.67
p229301,0.634
p078655,0.824
p224758,0.676
p039688,0.656
p001540,0.846
p143087,0.836
p020642,0.77
p124035,0.75
p203040,0.9
p061998,0.606
p235499,0.696
p046971,0.676
p206955,0.676
p178452,0.82
p142364,0.712
p053540,0.786
p124937,0.662
p119018,0.768
p000157,0.738
p220155,0.88
p137944,0.884
p141499,0.846
p048850,0.808
p200050,0.758
p099920,0.894
p223762,0.694
p021241,0.734
p153453,0.734
p204229,0.808
p002626,0.704
p020711,0.886
p071519,0.874
p204935,0.84
p023511,0.892
p071406,0.852
p030547,0.748
p236657,0.65
p184656,0.706
p067503,0.95
p076599,0.888
p089074,0.92
p055453,0.784
p139328,0.584
p208968,0.822
p002749,0.684
p174178,0.796
p105305,0.864
p245431,0.868
p128746,0.808
p051923,0.924
p175721,0.718
p141223,0.922
p209236,0.816
p167949,0.826
p144580,0.778
p148508,0.83
p040285,0.908
p255901,0.73
p076050,0.862
p203493,0.85
p177206,0.714
p246769,0.836
p089435,0.758
p224769,0.8
p020437,0.638
p197991,0.732
p094460,0.864
p249184,0.814
p113797,0.922
p089926,0.778
p043569,0.73
p106653,0.81
p122795,0.768
p168410,0.93
p094641,0.722
p131396,0.65
p145834,0.686
p163359,0.732
p248284,0.688
p198336,0.874
p039392,0.84
p116103,0.684
p007013,0.802
p246365,0.8
p031862,0.76
p057169,0.664
p113992,0.84
p177589,0.836
p053595,0.812
p195970,0.918
p162775,0.934
p020715,0.806
p055399,0.696
p170111,0.87
p057193,0.696
p012815,0.88
p060915,0.942
p074675,0.742
p230410,0.656
p196664,0.68
p026826,0.858
p106945,0.866
p056997,0.816
p048707,0.808
p049393,0.78
p029744,0.908
p254903,0.942
p137968,0.778
p167990,0.904
p024721,0.868
p117630,0.608
p051830,0.87
p136585,0.664
p089751,0.894
p131552,0.868
p072309,0.602
p087218,0.788
p115313,0.688
p104224,0.778
p061626,0.83
p012000,0.734
p091153,0.88
p247255,0.888
p241234,0.764
p216123,0.824
p206047,0.798
p042087,0.68
p020207,0.92
p254036,0.752
p004083,0.786
p127557,0.858
p097962,0.944
p189947,0.7
p186106,0.746
p253210,0.888
p248708,0.84
p178246,0.934
p228978,0.662
p035568,0.77
p097664,0.692
p158443,0.872
p067169,0.708
p043477,0.91
p013552,0.814
p004535,0.826
p200154,0.69
p195162,0.642
p197342,0.84
p181588,0.772
p236836,0.708
p157230,0.848
p180852,0.672
p148868,0.894
p145811,0.758
p094617,0.758
p099327,0.872
p201292,0.852
p238540,0.716
p077949,0.692
p247510,0.93
p033076,0.718
p256480,0.864
p076769,0.586
p062521,0.854
p076054,0.674
p124278,0.766
p206560,0.928
p086388,0.832
p135523,0.784
p056186,0.744
p135913,0.916
p255466,0.706
p011944,0.69
p169028,0.722
p007872,0.752
p250842,0.86
p135510,0.75
p108985,0.766
p245638,0.908
p034008,0.812
p156741,0.732
p230621,0.926
p086259,0.774
p121630,0.76
p090584,0.792
p146782,0.828
p078643,0.826
p050414,0.87
p219184,0.648
p229229,0.756
p193613,0.546
p117414,0.802
p112114,0.9
p209691,0.73
p009360,0.618
p254068,0.798
p177866,0.926
p173135,0.858
p257491,0.874
p064520,0.79
p064901,0.792
p163146,0.778
p150965,0.84
p175930,0.87
p135491,0.744
p111598,0.914
p063022,0.764
p225619,0.778
p214363,0.546
p259744,0.682
p258350,0.698
p022962,0.636
p013411,0.908
p009502,0.908
p073028,0.772
p047973,0.862
p104551,0.716
p217620,0.946
p199884,0.758
p124793,0.694
p156660,0.816
p098242,0.894
p259010,0.638
p086558,0.638
p158022,0.8
p202231,0.944
p149156,0.736
p029467,0.822
p152032,0.668
p122840,0.91
p024645,0.696
p124167,0.904
p241316,0.708
p046379,0.668
p113280,0.92
p183113,0.814
p038727,0.708
p100041,0.766
p030392,0.844
p088141,0.752
p212210,0.85
p112526,0.744
p014522,0.866
p028621,0.654
p108505,0.902
p061556,0.892
p218884,0.654
p058425,0.78
p192422,0.784
p032720,0.752
p068000,0.898
p087904,0.872
p199278,0.88
p205243,0.89
p140121,0.632
p250008,0.776
p224866,0.856
p247101,0.866
p258581,0.908
p009757,0.81
p064907,0.894
p245071,0.8
p000726,0.78
p215139,0.84
p112968,0.908
p175695,0.636
p148311,0.672
p156499,0.764
p099284,0.884
p132455,0.786
p253487,0.714
p120462,0.886
p102609,0.616
p160645,0.918
p104179,0.738
p000666,0.766
p036209,0.692
p135102,0.872
p134193,0.884
p175806,0.756
p076194,0.712
p254862,0.662
p192299,0.752
p058811,0.634
p140571,0.672
p053238,0.764
p206579,0.794
p160818,0.818
p027854,0.81
p116776,0.934
p186365,0.874
p165331,0.748
p246564,0.71
p138124,0.906
p110953,0.822
p186214,0.764
p044778,0.64
p257962,0.912
p084487,0.946
p221290,0.882
p181360,0.706
p114370,0.852
p169726,0.776
p088261,0.844
p089733,0.84
p143200,0.908
p089333,0.696
p067206,0.808
p136629,0.85
p123285,0.77
p045613,0.872
p091258,0.706
p109990,0.614
p034945,0.848
p209215,0.73
p180896,0.656
p020986,0.722
p029081,0.904
p149371,0.842
p092316,0.848
p248888,0.692
p091658,0.828
p032913,0.926
p054741,0.72
p088809,0.762
p000884,0.776
p250108,0.774
p141013,0.902
p223746,0.716
p198971,0.742
p210354,0.862
p185480,0.742
p020002,0.932
p004176,0.91
p139424,0.774
p133590,0.836
p028969,0.564
p056535,0.91
p160239,0.618
p107783,0.732
p041410,0.902
p012368,0.766
p244769,0.68
p212460,0.75
p219249,0.632
p148412,0.692
p164417,0.902
p142374,0.762
p046842,0.912
p076648,0.848
p161830,0.676
p014015,0.918
p165474,0.694
p056483,0.93
p000532,0.774
p194930,0.828
p096974,0.754
p017548,0.814
p221036,0.882
p243890,0.856
p203836,0.668
p179365,0.856
p130248,0.77
p256311,0.83
p239758,0.888
p051974,0.734
p110368,0.908
p194208,0.898
p145258,0.9
p199434,0.662
p002850,0.658
p222550,0.852
p053816,0.85
p125835,0.786
p164096,0.896
p075105,0.754
p124229,0.73
p093763,0.7
p094690,0.826
p258365,0.73
p022588,0.838
p242099,0.936
p218124,0.648
p213245,0.848
p099429,0.76
p159954,0.722
p155453,0.91
p198478,0.896
p059565,0.936
p220176,0.71
p175848,0.742
p041405,0.714
p197041,0.806
p253509,0.908
p124739,0.928
p118282,0.858
p005286,0.708
p246944,0.72
p078030,0.758
p013257,0.66
p197157,0.728
p257172,0.688
p083458,0.716
p092170,0.824
p195815,0.908
p036972,0.778
p001080,0.78
p144625,0.784
p010260,0.928
p007734,0.888
p227563,0.834
p225936,0.766
p119988,0.82
p196189,0.744
p180227,0.546
p176336,0.788
p163516,0.824
p157886,0.73
p144904,0.888
p129205,0.718
p043372,0.756
p110068,0.674
p007341,0.756
p228272,0.824
p050657,0.678
p018289,0.908
p253075,0.894
p035816,0.868
p116074,0.89
p245626,0.796
p226048,0.668
p245435,0.68
p134914,0.628
p061557,0.752
p037533,0.74
p090538,0.678
p007729,0.704
p169881,0.928
p012192,0.694
p239204,0.882
p245090,0.944
p007251,0.646
p230912,0.734
p007283,0.644
p238895,0.97
p011941,0.776
p214398,0.848
p214516,0.718
p125508,0.814
p153948,0.848
p006182,0.752
p187280,0.588
p048932,0.722
p066118,0.786
p096752,0.802
p085233,0.71
p205770,0.806
p159463,0.788
p074489,0.93
p046662,0.89
p157897,0.766
p025188,0.948
p023274,0.784
p164405,0.888
p142465,0.91
p111439,0.782
p064680,0.896
p142809,0.888
p006247,0.912
p096942,0.67
p006643,0.9
p011099,0.858
p053046,0.944
p092138,0.578
p249750,0.698
p109566,0.848
p195570,0.864
p152325,0.644
p184563,0.94
p257519,0.788
p239603,0.928
p100017,0.698
p032737,0.86
p251043,0.738
p041341,0.6
p153867,0.908
p163754,0.718
p114663,0.808
p119245,0.618
p026989,0.872
p234149,0.844
p086050,0.796
p015894,0.838
p149358,0.762
p215530,0.87
p019705,0.882
p164001,0.762
p149741,0.88
p241012,0.744
p236428,0.918
p254247,0.69
p088054,0.844
p165236,0.88
p075408,0.66
p245303,0.79
p218679,0.758
p186795,0.64
p047683,0.806
p090548,0.828
p210440,0.866
p065716,0.688
p055864,0.85
p189758,0.644
p125661,0.69
p098104,0.784
p195543,0.718
p192258,0.882
p220168,0.84
p085191,0.65
p086029,0.748
p022535,0.79
p007921,0.642
p074011,0.83
p013199,0.866
p073895,0.798
p142700,0.832
p140592,0.686
p226024,0.59
p236281,0.698
p005221,0.834
p056472,0.918
p183663,0.732
p143574,0.896
p184253,0.778
p241669,0.814
p197335,0.746
p006030,0.79
p191788,0.884
p259028,0.666
p001094,0.656
p028645,0.88
p020094,0.842
p060838,0.828
p154850,0.7
p116757,0.696
p080932,0.852
p074445,0.804
p142125,0.698
p006057,0.734
p226378,0.618
p096326,0.696
p215745,0.806
p125924,0.816
p212112,0.9
p083206,0.754
p208197,0.632
p024945,0.896
p081296,0.916
p170010,0.764
p202766,0.624
p030310,0.762
p089828,0.74
p018497,0.798
p103940,0.8
p208004,0.952
p009711,0.644
p126522,0.708
p194545,0.88
p238444,0.674
p224946,0.816
p099914,0.902
p146611,0.786
p060469,0.826
p029111,0.62
p211742,0.832
p078771,0.762
p223177,0.706
p126111,0.634
p047518,0.894
p099964,0.61
p037604,0.732
p043841,0.606
p182378,0.826
p021065,0.732
p254668,0.722
p017238,0.912
p210994,0.892
p072800,0.804
p088063,0.666
p076038,0.71
p127239,0.74
p054326,0.816
p032113,0.778
p129276,0.808
p242627,0.602
p122350,0.708
p063394,0.658
p024343,0.672
p141770,0.854
p230910,0.712
p048847,0.642
p010600,0.606
p144900,0.666
p252705,0.902
p209242,0.82
p004828,0.862
p011338,0.816
p038108,0.734
p199462,0.784
p080226,0.906
p092698,0.672
p048970,0.722
p121665,0.62
p063410,0.836
p242564,0.922
p053037,0.856
p245860,0.902
p082390,0.872
p124591,0.774
p108643,0.8
p029115,0.752
p248626,0.882
p218192,0.692
p257834,0.844
p096524,0.564
p033706,0.564
p159212,0.932
p168949,0.854
p023244,0.748
p231388,0.88
p189968,0.736
p169025,0.704
p030519,0.72
p132908,0.624
p235217,0.714
p184397,0.586
p220758,0.716
p104835,0.864
p242011,0.822
p086779,0.63
p000948,0.754
p122491,0.85
p162636,0.77
p176742,0.808
p043069,0.902
p085458,0.9
p150416,0.9
p192626,0.846
p162233,0.752
p028637,0.73
p099251,0.832
p105221,0.686
p097753,0.824
p003718,0.952
p066934,0.858
p219110,0.754
p173241,0.742
p032544,0.936
p236076,0.742
p228031,0.804
p067678,0.908
p022344,0.586
p229494,0.8
p182044,0.92
p013008,0.68
p220709,0.766
p152081,0.806
p133252,0.83
p203521,0.766
p236659,0.896
p082991,0.88
p070028,0.82
p000321,0.796
p086855,0.782
p009299,0.836
p216664,0.9
p008114,0.696
p221185,0.652
p027086,0.918
p187786,0.714
p031921,0.894
p178872,0.958
p116934,0.816
p063324,0.862
p128289,0.758
p097821,0.902
p117249,0.704
p045221,0.794
p048760,0.714
p079104,0.768
p236277,0.706
p105817,0.824
p017836,0.826
p124732,0.848
p013796,0.894
p126129,0.77
p075117,0.748
p225980,0.718
p175353,0.68
p171455,0.842
p223735,0.622
p055881,0.814
p168361,0.724
p197807,0.896
p147365,0.692
p031372,0.644
p101649,0.684
p189276,0.886
p011314,0.946
p159022,0.882
p107840,0.598
p254504,0.862
p135575,0.766
p064961,0.872
p232655,0.622
p072964,0.892
p066923,0.89
p149377,0.918
p174549,0.938
p194079,0.744
p233846,0.808
p246237,0.654
p223140,0.638
p158760,0.9
p238310,0.82
p123993,0.86
p225606,0.732
p007100,0.878
p148336,0.772
p128282,0.708
p048176,0.776
p212099,0.704
p059455,0.91
p138077,0.874
p130542,0.786
p080397,0.756
p104618,0.764
p057700,0.746
p085767,0.814
p202279,0.952
p026024,0.662
p184037,0.828
p214918,0.668
p145354,0.594
p180456,0.806
p146593,0.72
p003454,0.786
p016308,0.914
p005543,0.744
p020872,0.496
p222867,0.67
p126690,0.866
p210023,0.962
p221203,0.842
p046986,0.774
p097244,0.766
p128966,0.676
p230300,0.712
p240067,0.732
p246312,0.882
p129340,0.722
p110581,0.742
p207067,0.906
p256091,0.786
p031786,0.906
p014445,0.722
p184463,0.896
p098163,0.724
p155321,0.838
p176628,0.882
p146670,0.886
p154276,0.858
p058062,0.924
p100579,0.88
p241233,0.764
p108679,0.796
p120596,0.742
p050551,0.918
p143653,0.66
p149112,0.908
p249885,0.786
p166325,0.92
p011589,0.728
p057166,0.548
p174622,0.686
p171396,0.816
p135330,0.564
p101674,0.748
p098340,0.81
p079166,0.83
p098618,0.674
p250759,0.866
p067325,0.896
p153776,0.7
p212324,0.876
p244511,0.858
p201517,0.894
p056275,0.686
p221791,0.768
p003938,0.754
p078660,0.664
p162979,0.888
p043869,0.734
p172864,0.668
p132792,0.888
p234441,0.788
p237616,0.652
p184098,0.87
p000351,0.91
p203297,0.886
p148605,0.67
p252258,0.936
p164274,0.688
p097445,0.59
p083580,0.818
p028841,0.878
p152370,0.892
p136734,0.814
p160445,0.814
p043573,0.846
p227998,0.792
p260058,0.908
p211486,0.742
p243216,0.898
p165766,0.91
p109423,0.928
p029645,0.69
p210650,0.744
p226780,0.82
p170244,0.904
p064134,0.89
p034274,0.542
p138041,0.63
p237681,0.906
p181849,0.75
p020012,0.748
p142112,0.882
p221312,0.762
p192876,0.662
p209284,0.742
p110914,0.79
p091495,0.916
p130425,0.862
p224823,0.716
p092106,0.582
p220972,0.688
p177242,0.764
p195102,0.75
p062742,0.876
p115954,0.602
p086828,0.84
p203067,0.76
p026457,0.716
p073312,0.652
p136300,0.766
p028064,0.874
p102920,0.888
p119845,0.706
p221877,0.918
p231426,0.682
p210275,0.616
p219260,0.874
p132853,0.792
p239484,0.766
p217430,0.88
p107689,0.668
p231184,0.702
p188158,0.866
p190137,0.892
p075272,0.796
p000052,0.848
p201845,0.91
p202213,0.84
p192496,0.838
p127348,0.76
p004899,0.724
p072242,0.858
p140313,0.786
p081001,0.878
p232479,0.662
p150012,0.726
p049450,0.884
p238074,0.628
p081999,0.682
p202164,0.708
p222316,0.832
p090452,0.874
p192468,0.882
p233186,0.652
p051322,0.886
p055072,0.818
p232675,0.918
p252051,0.768
p198256,0.576
p255995,0.92
p116205,0.87
p075845,0.726
p090745,0.88
p216303,0.81
p083288,0.888
p050662,0.87
p235035,0.64
p133658,0.898
p060112,0.874
p095910,0.712
p080296,0.898
p162061,0.958
p131114,0.924
p052887,0.92
p227891,0.75
p010749,0.874
p089223,0.79
p183869,0.894
p070805,0.894
p050526,0.87
p144553,0.864
p201423,0.692
p050241,0.806
p001395,0.626
p179574,0.788
p186662,0.936
p217399,0.6
p078113,0.846
p175055,0.754
p209951,0.926
p158865,0.892
p161166,0.884
p098952,0.83
p034240,0.932
p116551,0.63
p145596,0.776
p036877,0.688
p073253,0.744
p065794,0.768
p025438,0.806
p101575,0.902
p107027,0.866
p198034,0.846
p087663,0.768
p107701,0.912
p131510,0.712
p162938,0.844
p256352,0.652
p243693,0.734
p242369,0.612
p183991,0.916
p232096,0.68
p076808,0.664
p003175,0.848
p101098,0.944
p229008,0.824
p252122,0.626
p042715,0.82
p242508,0.75
p104767,0.894
p016427,0.662
p094862,0.922
p023158,0.696
p012784,0.904
p221792,0.774
p169712,0.906
p221328,0.908
p130790,0.914
p079964,0.758
p003328,0.742
p010303,0.746
p030008,0.852
p096321,0.73
p242373,0.658
p159066,0.878
p208639,0.848
p059496,0.912
p128384,0.752
p165556,0.758
p023080,0.894
p187252,0.866
p055477,0.686
p207228,0.654
p089336,0.77
p114741,0.862
p080186,0.886
p157664,0.854
p032052,0.616
p203781,0.852
p116734,0.862
p227114,0.886
p017549,0.772
p149170,0.834
p144140,0.676
p233268,0.884
p038124,0.738
p206987,0.64
p172067,0.75
p129180,0.898
p188340,0.782
p192475,0.876
p139800,0.708
p077612,0.684
p055653,0.72
p154969,0.68
p068006,0.724
p115947,0.726
p116081,0.872
p095660,0.706
p115818,0.806
p173701,0.698
p157089,0.822
p165497,0.814
p023131,0.89
p082629,0.916
p184704,0.744
p201819,0.646
p097253,0.936
p240888,0.928
p039661,0.92
p136680,0.888
p231132,0.648
p059209,0.756
p166260,0.896
p108747,0.734
p148447,0.766
p210249,0.724
p165371,0.672
p097159,0.874
p040152,0.762
p190840,0.9
p229553,0.914
p147318,0.776
p082688,0.742
p239937,0.84
p103067,0.864
p139144,0.944
p176140,0.708
p246421,0.7
p025031,0.78
p205217,0.714
p022550,0.8
p126012,0.59
p000680,0.87
p184035,0.67
p150613,0.772
p129627,0.77
p233278,0.814
p228932,0.914
p126803,0.756
p238076,0.922
p031397,0.942
p069774,0.662
p242368,0.706
p123712,0.866
p194179,0.6
p226424,0.842
p015893,0.736
p081147,0.596
p147823,0.828
p198839,0.778
p132472,0.928
p117602,0.908
p243667,0.91
p015117,0.778
p175125,0.724
p069222,0.816
p221682,0.914
p171142,0.696
p215275,0.712
p082996,0.918
p204838,0.866
p162540,0.78
p092549,0.768
p021618,0.964
p082842,0.768
p150920,0.812
p088361,0.89
p149270,0.766
p217337,0.58
p126476,0.902
p211233,0.706
p217530,0.934
p070711,0.876
p136625,0.734
p174061,0.902
p184122,0.932
p252934,0.87
p004502,0.916
p118693,0.79
p164455,0.738
p127079,0.912
p079536,0.694
p194359,0.664
p100461,0.704
p077307,0.802
p114034,0.858
p127297,0.7
p113959,0.932
p105662,0.672
p107888,0.786
p258355,0.752
p241528,0.738
p233684,0.868
p110033,0.802
p197590,0.922
p193437,0.868
p159279,0.902
p229184,0.722
p186891,0.78
p204587,0.726
p248515,0.77
p046462,0.792
p039082,0.91
p038339,0.914
p103818,0.82
p097562,0.906
p188433,0.684
p174925,0.786
p037528,0.868
p014843,0.764
p228674,0.806
p182941,0.85
p138313,0.936
p171386,0.7
p148004,0.834
p189201,0.83
p178742,0.672
p198331,0.78
p111456,0.95
p043795,0.75
p026268,0.794
p083077,0.886
p102810,0.884
p185327,0.75
p156487,0.65
p208818,0.894
p150558,0.698
p174013,0.744
p168799,0.718
p122335,0.604
p256532,0.956
p140726,0.58
p104182,0.87
p098784,0.8
p110211,0.678
p111921,0.794
p066225,0.602
p173809,0.672
p101518,0.706
p024647,0.902
p252806,0.732
p008397,0.728
p168006,0.572
p076312,0.782
p120365,0.772
p170409,0.912
p016279,0.874
p195180,0.836
p146225,0.804
p180157,0.76
p259026,0.712
p020354,0.794
p071246,0.806
p200163,0.636
p120713,0.808
p101213,0.8
p168540,0.728
p125912,0.796
p227868,0.892
p056568,0.582
p043967,0.554
p197460,0.802
p220282,0.806
p102041,0.852
p163690,0.604
p156848,0.79
p246119,0.866
p225756,0.724
p041887,0.958
p107666,0.846
p158354,0.846
p047414,0.772
p019197,0.62
p131125,0.616
p036641,0.756
p212269,0.828
p049356,0.714
p225947,0.902
p113585,0.912
p068069,0.634
p165804,0.898
